Bird_ID	Trip_ID	min_Date	max_Date	min_Latitude	max_Latitude	min_Longitude	max_Longitude	track_dur	total_distance	max_Dcol	mean_Temperature	sd_Temperature	mean_Speed	sd_Speed
22_L073290	9	2023-08-30 05:12:09	2023-08-31 20:37:30	38.74354	39.5158617	-10.0859567	-9.4652233	39.4225	14037.94	80.8	22.012987012987	1.14390832515213	19.0331082251082	18.8797667160761
22_L073290	10	2023-09-01 04:43:09	2023-09-01 20:17:33	39.2198717	39.4213583	-9.99857	-9.5036267	15.5733333333333	2756.58	46.6	22.6344086021505	1.35762697569789	8.74223655913979	15.5054439523937
22_L073290	11	2023-09-02 04:59:00	2023-09-02 20:33:32	39.1581383	39.4194217	-10.022295	-9.5032367	15.5755555555556	3037.07	52.22	21.8494623655914	0.943469966333112	19.8343225806452	20.3840392833095
25_L93194	1	2023-08-18 04:56:49	2023-08-18 20:55:20	39.3165517	39.4389283	-9.856535	-9.5033817	15.9752777777778	1466.6	30.37	24.2736842105263	1.51195312084788	19.4752421052632	17.9331605197744
25_L93194	2	2023-08-19 05:15:42	2023-08-19 21:35:31	39.2532033	39.4140367	-10.00538	-9.50276	16.3302777777778	2071.61	45.79	24.7741935483871	1.0947407103974	26.6449032258065	19.8097996138409
25_L93194	3	2023-08-20 04:51:12	2023-08-20 20:47:32	39.29356	39.41413	-10.1109133	-9.5047483	15.9388888888889	2696.23	53.9	24.5578947368421	1.47111037433724	21.5806736842105	21.1311951925282
25_L93194	4	2023-08-21 04:58:20	2023-08-21 20:22:18	39.403605	39.559685	-9.6178083	-9.5004933	15.3994444444444	995.14	16.51	23.8586956521739	0.778580304766245	9.76326086956522	15.7125901606824
25_L93194	5	2023-08-21 23:24:31	2023-08-24 20:55:23	39.4037483	41.42287	-9.5249	-8.708375	69.5144444444445	71608.49	229.14	23.5631067961165	1.50696616263632	13.759640776699	17.9406853107146
25_L93194	6	2023-08-25 05:01:03	2023-08-26 03:10:48	38.7715017	39.4140033	-10.2703817	-9.471005	22.1625	6692.54	81.07	23.6212121212121	1.08796541698449	17.4957878787879	19.4068327894196
25_L93194	7	2023-08-26 04:53:28	2023-08-28 03:27:54	38.6986983	39.4140867	-10.2969267	-9.4868667	46.5738888888889	16887.24	95.46	22.9667896678967	1.33707960788383	23.9939926199262	20.3699635196663
