CONT_ID	DATEGMT	Month	Year	MAIN_tracking_Year	LON	LAT	COLONY	stage	UNIQUE_ID	timestamps
5948	02/09/2012 01:04	9	2012	2012	-16.07	23.27	SEL	NON-BREEDING	12	2012-09-02 01:04:00
5949	02/09/2012 13:00	9	2012	2012	-18.625	22.34	SEL	NON-BREEDING	12	2012-09-02 13:00:00
5950	03/09/2012 00:59	9	2012	2012	-18.415	21.36	SEL	NON-BREEDING	12	2012-09-03 00:59:00
5951	03/09/2012 13:01	9	2012	2012	-16.595	22.7575	SEL	NON-BREEDING	12	2012-09-03 13:01:00
5952	04/09/2012 01:02	9	2012	2012	-17.015	23.9175	SEL	NON-BREEDING	12	2012-09-04 01:02:00
5953	04/09/2012 12:57	9	2012	2012	-18.285	19.62	SEL	NON-BREEDING	12	2012-09-04 12:57:00
5954	05/09/2012 00:55	9	2012	2012	-17.575	20.04	SEL	NON-BREEDING	12	2012-09-05 00:55:00
5955	05/09/2012 12:57	9	2012	2012	-14.61	23.74	SEL	NON-BREEDING	12	2012-09-05 12:57:00
5956	06/09/2012 01:01	9	2012	2012	-16.925	22.9175	SEL	NON-BREEDING	12	2012-09-06 01:01:00
5957	06/09/2012 13:03	9	2012	2012	-16.07	20.8	SEL	NON-BREEDING	12	2012-09-06 13:03:00
5958	07/09/2012 01:02	9	2012	2012	-17.265	23.9775	SEL	NON-BREEDING	12	2012-09-07 01:02:00
5959	07/09/2012 13:01	9	2012	2012	-16.935	23.7075	SEL	NON-BREEDING	12	2012-09-07 13:01:00
5960	08/09/2012 01:00	9	2012	2012	-15.45	24.08	SEL	NON-BREEDING	12	2012-09-08 01:00:00
5961	08/09/2012 12:58	9	2012	2012	-16.515	23.1375	SEL	NON-BREEDING	12	2012-09-08 12:58:00
5962	09/09/2012 01:05	9	2012	2012	-16.79	17.77	SEL	NON-BREEDING	12	2012-09-09 01:05:00
5963	09/09/2012 13:07	9	2012	2012	-17.33	13.93	SEL	NON-BREEDING	12	2012-09-09 13:07:00
5964	10/09/2012 01:03	9	2012	2012	-16.37	20.93	SEL	NON-BREEDING	12	2012-09-10 01:03:00
5965	10/09/2012 13:03	9	2012	2012	-16.42	25.5	SEL	NON-BREEDING	12	2012-09-10 13:03:00
5966	11/09/2012 01:01	9	2012	2012	-15.96	28.06	SEL	NON-BREEDING	12	2012-09-11 01:01:00
5967	11/09/2012 12:59	9	2012	2012	-15.63	29.73	SEL	NON-BREEDING	12	2012-09-11 12:59:00
